rank;popularity;score;name_eng;synonyms;name_jap;cast_type;episodes_num;status;aired;premiere;broadcast;producers;licensors;studios;sources;genres;duration;rating;synopsis;start_theme;end_theme
1;4;9.25;Fullmetal Alchemist: Brotherhood;Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA;鋼の錬金術師 FULLMETAL ALCHEMIST;TV;64;Finished Airing;Apr 5, 2009 to Jul 4, 2010;Spring 2009;Sundays at 17:00 (JST);Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken;Funimation, Aniplex of America;Bones;Manga;Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen;24 min. per ep.;R - 17+ (violence & profanity);"""In order for something to be obtained, something of equal value must be lost.""

Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist.

Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.

[Written by MAL Rewrite]";"#1: ""again"" by YUI (eps 1-14),#2: ""Hologram (ホログラム)"" by NICO Touches the Walls (eps 15-26),#3: ""Golden Time Lover (ゴールデンタイムラバー)"" by Sukima Switch (eps 27-38),#4: ""Period"" by Chemistry (eps 39-50),#5: ""Rain (レイン)"" by SID (eps 51-62),";"#1: ""Uso (嘘)"" by SID (eps 1-14),#2: ""LET IT OUT"" by Miho Fukuhara (eps 15-26),#3: ""Tsunaida Te (つないだ手)"" by Lil'B (eps 27-38),#4: ""Shunkan Sentimental (瞬間センチメンタル)"" by SCANDAL (eps 39-50),#5: ""RAY OF LIGHT"" by Nakagawa Shouko (eps 51-62),#6: ""Rain (レイン)"" by SID (ep 63),#7: ""Hologram (ホログラム)"" by NICO Touches the Walls (ep 64),"
2;35;9.19;Your Name.;;君の名は。;Movie;1;Finished Airing;Aug 26, 2016;;;Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing & Communications;Funimation, NYAV Post;CoMix Wave Films;Original;Supernatural, Drama, Romance, School;1 hr. 46 min.;PG-13 - Teens 13 or older;"Mitsuha Miyamizu, a high school girl, yearns to live the life of a boy in the bustling city of Tokyo—a dream that stands in stark contrast to her present life in the countryside. Meanwhile in the city, Taki Tachibana lives a busy life as a high school student while juggling his part-time job and hopes for a future in architecture.

One day, Mitsuha awakens in a room that is not her own and suddenly finds herself living the dream life in Tokyo—but in Taki's body! Elsewhere, Taki finds himself living Mitsuha's life in the humble countryside. In pursuit of an answer to this strange phenomenon, they begin to search for one another.

Kimi no Na wa. revolves around Mitsuha and Taki's actions, which begin to have a dramatic impact on each other's lives, weaving them into a fabric held together by fate and circumstance.

[Written by MAL Rewrite]";"""Yume Tourou (夢灯籠)"" by RADWIMPS,";"""Nandemonaiya (なんでもないや)"" by RADWIMPS,"
3;381;9.16;Gintama Season 4;Gintama' (2015);銀魂°;TV;51;Finished Airing;Apr 8, 2015 to Mar 30, 2016;Spring 2015;Wednesdays at 18:00 (JST);TV Tokyo, Aniplex, Dentsu;Funimation, Crunchyroll;Bandai Namco Pictures;Manga;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;24 min. per ep.;R - 17+ (violence & profanity);"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's third season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]";"#1: ""DAY×DAY"" by BLUE ENCOUNT (eps 1-12),#2: ""Pride Kakumei (プライド革命)"" by CHiCO with HoneyWorks (eps 13-15, 17-26),#3: ""Saigo made II (最後までⅡ)"" by Aqua Timez (ep 16),#4: ""Beautiful Days"" by OKAMOTO'S (eps 27-38),#5: ''Know Know Know'' by DOES (eps 39-50),#6: ""Acchi Muite (あっちむいて)"" by Swimy (ep 51),";"#1: ""DESTINY"" by Negoto (eps 1-12),#2: ""Saigo made II (最後までⅡ)"" by Aqua Timez (eps 13-15, 17-26),#3: ""Pride Kakumei (プライド革命)"" by CHiCO with HoneyWorks (ep 16),#4: ""Glorious Days (グロリアスデイズ)"" by THREE LIGHTS DOWN KINGS (eps 27-38),#5: ""Acchi Muite (あっちむいて)"" by Swimy (eps 39-50),#6: ""Know Know Know"" by DOES (ep 51),"
4;7;9.14;"Steins;Gate";シュタゲ;シュタインズ・ゲート;TV;24;Finished Airing;Apr 6, 2011 to Sep 14, 2011;Spring 2011;Wednesdays at 02:05 (JST);Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus;Funimation;White Fox;Visual novel;Sci-Fi, Thriller;24 min. per ep.;PG-13 - Teens 13 or older;"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel.

Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history.

Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.

[Written by MAL Rewrite]";"""Hacking to the Gate"" by Kanako Itou,";"#1: ""Toki Tsukasadoru Juuni no Meiyaku (刻司ル十二ノ盟約)"" by Yui Sakakibara (eps 1-21),#2: ""Fake Verthandi"" by Takeshi Abo (ep 22),#3: ""Sky Clad no Kansokusha (スカイクラッドの観測者)"" by Kanako Itou (ep 23),#4: ""Another Heaven"" by Kanako Itou (ep 24),"
5;1038;9.11;March Comes In Like A Lion 2nd Season;Sangatsu no Lion Second Season;3月のライオン 第2シリーズ;TV;22;Finished Airing;Oct 14, 2017 to Mar 31, 2018;Fall 2017;Saturdays at 23:00 (JST);Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace Entertainment, Toy's Factory;Aniplex of America;Shaft;Manga;Drama, Game, Seinen, Slice of Life;25 min. per ep.;PG-13 - Teens 13 or older;"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. 

Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.

[Written by MAL Rewrite]";"#1: ""Flag wo Tatero (フラッグを立てろ)"" by YUKI,#2: ""Haru ga Kite Bokura (春が来てぼくら)"" by UNISON SQUARE GARDEN,";"#1: ""Kafune (カフネ)"" by Brian the Sun,#2: ""I AM STANDING"" by RUANN,"
6;687;9.11;Legend of the Galactic Heroes;LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel;銀河英雄伝説;OVA;110;Finished Airing;Jan 8, 1988 to Mar 17, 1997;;;Kitty Films;Sentai Filmworks;Artland, Magic Bus;Novel;Military, Sci-Fi, Space, Drama;26 min. per ep.;R - 17+ (violence & profanity);"The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.

While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.

As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.

[Written by MAL Rewrite]";"#1: ""Skies of Love"" by Michiru Akiyoshi (eps 1-22,24-26),#2: ""I am waiting for you"" by Michiru Akiyoshi (eps 27-30,32,34-35,37-38,40,43,45,49,51-52),#3: ""Sea of the Stars"" by LISA (eps 55-81,86),#4: ""Must Be Something"" by Hitomi Konno (eps 87-106,108-110),";"#1: ""Hikari no Hashi wo koete"" by Kei Ogura (eps 1-5,7-13,16-17,19-21,24-26,84),#2: ""Tabidachi no Jyokyoku"" by Kei Ogura (eps 27-30,32,35,37-38,40,42-43,45,49,51),#3: ""Kansou no Uta"" by Kei Ogura (eps 55-56,58-69,71-81,83,85),#4: ""Uchuu no Kakehashi"" by Kei Ogura (eps 87-106,108-110),"
7;341;9.11;Gintama Season 2;Gintama (2011);銀魂';TV;51;Finished Airing;Apr 4, 2011 to Mar 26, 2012;Spring 2011;Mondays at 18:00 (JST);TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha;None found, add some;Sunrise;Manga;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;24 min. per ep.;PG-13 - Teens 13 or older;"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.

[Written by MAL Rewrite]
";"#1: ""Tougenkyou Alien (桃源郷エイリアン)"" by serial TV drama (eps 1-26),#2: ""Dilemma (ジレンマ)"" by ecosystem (eps 27-39),#3: ""Wonderland (ワンダーランド)"" by FLiP (eps 40-51),";"#1: ""Samurai Heart (Some Like It Hot!!)"" by SPYAIR (eps 1-13),#2: ""Balance Doll (バランスドール)"" by Prague (eps 14-26),#3: ""Anagura (アナグラ)"" by Kuroneko Chelsea (eps 27-39),#4: ""Nakama (仲間)"" by Good Coming (eps 40-50),#5: ""Tougenkyou Alien (桃源郷エイリアン)"" by serial TV drama (ep 51),"
8;34;9.11;Hunter x Hunter;HxH (2011);HUNTER×HUNTER ハンターハンター;TV;148;Finished Airing;Oct 2, 2011 to Sep 24, 2014;Fall 2011;Sundays at 10:55 (JST);VAP, Nippon Television Network, Shueisha;Viz Media;Madhouse;Manga;Action, Adventure, Super Power, Shounen;23 min. per ep.;PG-13 - Teens 13 or older;"Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-old Gon Freecss is determined to become the best Hunter possible in hopes of finding his father, who was a Hunter himself and had long ago abandoned his young son. However, Gon soon realizes the path to achieving his goals is far more challenging than he could have ever imagined.

Along the way to becoming an official Hunter, Gon befriends the lively doctor-in-training Leorio, vengeful Kurapika, and rebellious ex-assassin Killua. To attain their own goals and desires, together the four of them take the Hunter Exam, notorious for its low success rate and high probability of death. Throughout their journey, Gon and his friends embark on an adventure that puts them through many hardships and struggles. They will meet a plethora of monsters, creatures, and characters—all while learning what being a Hunter truly means.

[Written by MAL Rewrite]";"#1: ""departure!"" by Ono Masatoshi (eps 1-26, 50-52, 62-75, 101-103, 137-147),#2: ""departure! -second version-"" by Ono Masatoshi (eps 27-49, 76-100, 109-136),#3: ""departure! -Opening Tokubetsu-hen-"" by Ono Masatoshi (eps 53-61, 104-108),";"#1: ""Just Awake"" by Fear, and Loathing in Las Vegas (eps 1-26),#2: ""HUNTING FOR YOUR DREAM"" by Galneryus (eps 27-50, 52-58),#3: ""Riot"" by Yoshihisa Hirano (ep 51),#4: ""REASON"" by YUZU (ゆず) (eps 59-75, 147),#5: ""Nagareboshi Kirari (YUZU Version) (流れ星キラリ (ゆずバージョン))"" by YUZU (ゆず) (eps 76-98),#6: ""Hyouriittai (表裏一体)"" by YUZU (ゆず) (eps 99-134, 136),#7: ""Understanding"" by Yoshihisa Hirano (ep 135),#8: ""Hyouriittai -second version- (表裏一体)"" by YUZU (ゆず) (eps 137-146),#9: ""departure!"" by Ono Masatoshi (ep 148),"
9;684;9.07;Gintama: Enchousen;Gintama' (2012), Gintama' Overdrive, Kintama;銀魂' 延長戦;TV;13;Finished Airing;Oct 4, 2012 to Mar 28, 2013;Fall 2012;Thursdays at 18:00 (JST);TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus;None found, add some;Sunrise;Manga;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;24 min. per ep.;PG-13 - Teens 13 or older;"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character?

In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.

Gintama': Enchousen includes moments of action-packed intensity along with their usual lighthearted, slapstick humor for Gintoki and his friends.

[Written by MAL Rewrite]";"#1: ""LET'S GO OUT"" by Amoyamo (eps 1-3),#2: ""Mantama (まんたま)"" by Tsu Terakado ♀ with Houkago Happy Hour (寺門通♀ with 放課後ハッピーアワー) (ep 4),#3: ""Sakura Mitsutsuki (サクラミツツキ)"" by Spyair (eps 5-8, 10-13),#4: ""Expect (エクスペクト)"" by Page (ep 9),";"#1: ""Moonwalk (ムーンウォーク)"" by Monobright (eps 1-4),#2: ""LET'S GO OUT"" by Amoyamo (ep 4),#3: ""Expect (エクスペクト)"" by Page (eps 5-8, 10-13),#4: ""Sakura Mitsutsuki (サクラミツツキ)"" by Spyair (ep 9),"
10;824;9.04;Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2;;劇場版 銀魂 完結篇 万事屋よ永遠なれ;Movie;1;Finished Airing;Jul 6, 2013;;;TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha;None found, add some;Sunrise;Manga;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;1 hr. 50 min.;PG-13 - Teens 13 or older;"When Gintoki apprehends a movie pirate at a premiere, he checks the camera's footage and finds himself transported to a bleak, post-apocalyptic version of Edo, where a mysterious epidemic called the ""White Plague"" has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine, and Gintoki has been hurtled five years into the future! Shinpachi and Kagura, his Yorozuya cohorts, have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years, disappearing without a trace after scribbling a strange message in his journal.

Setting out in the disguise given to him by the android time machine, Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague, and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe, he makes an important discovery—with a ragtag band of friends and allies at his side, he doesn't have to fight alone.

[Written by MAL Rewrite]";;"#1: ""Genjou Destruction (現状ディストラクション)"" by SPYAIR,#2: ""Pray"" by Tommy heavenly6,"
11;83;9.04;A Silent Voice;The Shape of Voice, A Silent Voice: The Movie;聲の形;Movie;1;Finished Airing;Sep 17, 2016;;;Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras;NYAV Post;Kyoto Animation;Manga;Drama, School, Shounen;2 hr. 10 min.;PG-13 - Teens 13 or older;"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.

[Written by MAL Rewrite]";"""My Generation (マイ・ジェネレーション)"" by The Who,";"""Koi wo Shita no wa (恋をしたのは)"" by aiko,"
12;777;9.03;Owarimonogatari Second Season;End Story 2nd Season;終物語;TV;7;Finished Airing;Aug 12, 2017 to Aug 13, 2017;Summer 2017;Not scheduled once per week;Aniplex, Kodansha;Aniplex of America;Shaft;Light novel;Mystery, Comedy, Supernatural, Vampire;22 min. per ep.;R - 17+ (violence & profanity);Second season of Owarimonogatari.;"#1: ""terminal terminal"" by Mayoi Hachikuji (Emiri Katou) (TV: ep 1, BD/DVD: eps 1-2),#2: ""dreamy date drive"" by Hitagi Senjougahara (Chiwa Saito) (BD/DVD: eps 3-4),#3: ""dark cherry mystery"" by Ougi Oshino (Kaori Mizuhashi) (TV: ep 5, BD/DVD: eps 5-7),";"""SHIORI"" by ClariS,"
13;937;9.02;Gintama Season 5;Gintama (2017);銀魂。;TV;12;Finished Airing;Jan 9, 2017 to Mar 27, 2017;Winter 2017;Mondays at 01:35 (JST);TV Tokyo, Aniplex, Dentsu, Shueisha;None found, add some;Bandai Namco Pictures;Manga;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;24 min. per ep.;PG-13 - Teens 13 or older;"After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.

Hitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.

[Written by MAL Rewrite]";"#1: ""Kagerou (カゲロウ)"" by ЯeaL (eps 1-11),#2: ""SILVER"" by RIZE (ep 12),#R1: ""Kyou mo Sakura Mau Akatsuki ni (今日もサクラ舞う暁に)"" by CHiCO with HoneyWorks,";"#1: ""SILVER"" by RIZE (eps 1-11),#2: ""Kagerou (カゲロウ)"" by ЯeaL (ep 12),#R1: ""We Gotta Fight"" by XY,"
14;54;9.01;Clannad ~After Story~;;CLANNAD〜AFTER STORY〜 クラナド アフターストーリー;TV;24;Finished Airing;Oct 3, 2008 to Mar 27, 2009;Fall 2008;Fridays at 01:59 (JST);Pony Canyon, TBS, Rakuonsha, Animation Do;Sentai Filmworks;Kyoto Animation;Visual novel;Slice of Life, Comedy, Supernatural, Drama, Romance;24 min. per ep.;PG-13 - Teens 13 or older;"Clannad: After Story, the sequel to the critically acclaimed slice-of-life series Clannad, begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.

Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.

Based on the visual novel by Key and produced by Kyoto Animation, Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.

[Written by MAL Rewrite]";"""Toki wo Kizamu Uta (時を刻む唄)"" by Lia,";"#1: ""TORCH"" by Lia (eps 1-21),#2: ""Chiisana Te no Hira (小さなてのひら)"" by riya (ep 22),"
