rank;popularity;score;name_eng;synonyms;name_jap;cast_type;episodes_num;status;aired;premiere;broadcast;producers;licensors;studios;sources;genres;duration;rating;synopsis;start_theme;end_theme
32;208;8.77;Monogatari Series: Second Season;Nekomonogatari: Shiro, Kabukimonogatari: Mayoi Jianshi, Otorimonogatari, Onimonogatari, Koimonogatari;〈物語〉シリーズ セカンドシーズン;TV;26;Finished Airing;Jul 7, 2013 to Dec 29, 2013;Summer 2013;Sundays at 00:00 (JST);Aniplex, Kodansha, Cyclone Graphics inc;Aniplex of America;Shaft;Light novel;Mystery, Comedy, Supernatural, Romance, Vampire;24 min. per ep.;R - 17+ (violence & profanity);"Apparitions, oddities, and gods continue to manifest around Koyomi Araragi and his close-knit group of friends: Tsubasa Hanekawa, the group's modest genius; Shinobu Oshino, the resident doughnut-loving vampire; athletic deviant Suruga Kanbaru; bite-happy spirit Mayoi Hachikuji; Koyomi's cutesy stalker Nadeko Sengoku; and Hitagi Senjogahara, the poignant tsundere.

Monogatari Series: Second Season revolves around these individuals and their struggle to overcome the darkness that is rapidly approaching. A new semester has begun and with graduation looming over Araragi, he must quickly decide the paths he will walk, as well as the relationships and friends that he'll save. But as strange events begin to unfold, Araragi is nowhere to be found, and a vicious tiger apparition has appeared in his absence. Hanekawa has become its target, and she must fend for herself—or bow to the creature's perspective on the feebleness of humanity.

[Written by MAL Rewrite]";"#1: ""chocolate insomnia"" by Tsubasa Hanekawa (Yui Horie) (TV: eps 1-2, 4; BD/DVD: eps 1-5),#2: ""happy bite"" by Mayoi Hachikuji (Emiri Kato) (TV: eps 8-9; BD/DVD: eps 7-10),#3: ""Mousou♡Express (もうそう♡えくすぷれす)"" by Nadeko Sengoku (Kana Hanazawa) (TV: eps 12, 14; BD/DVD: eps 12-15),#4: ""white lies"" by Hiroaki Miyakoshi and Shigeru Yamada (Tokyo Philharmonic Chorus) (BD/DVD: eps 17-20),#5: ""fast love"" by Hitagi Senjougahara (Chiwa Saito) (BD/DVD: eps 21-23),#6: ""Kogarashi Sentiment (木枯らしセンティメント)"" by Hitagi Senjougahara (Chiwa Saito) and Deishu Kaiki (Shinichiro Miki) (TV: eps 23-25; BD/DVD: eps 24-26),";"#1: ""Ai wo Utae (アイヲウタエ)"" by Luna Haruna (eps 1-10),#2: ""Kimi no Shiranai Monogatari (君の知らない物語)"" by supercell (ep 11),#3: ""Sono Koe wo Oboeteru (その声を覚えてる)"" by Marina Kawano (eps 12-20),#4: ""snowdrop"" by Luna Haruna × Marina Kawano (eps 21-25),"
33;567;8.77;MUSHI-SHI -Next Passage-;Mushi-shi Zoku Shou, Mushishi: The Next Chapter;蟲師 続章;TV;10;Finished Airing;Apr 5, 2014 to Jun 21, 2014;Spring 2014;Saturdays at 00:00 (JST);Aniplex, Kodansha, Delfi Sound;Aniplex of America;Artland;Manga;Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen;24 min. per ep.;PG-13 - Teens 13 or older;"Perceived as strange and feared by man, over time the misshapen ones came to be known as Mushi. Although they harbor no ill intentions towards humans, many suffer from the side effects of their existence and strange nature; exploiting the Mushi without understanding them, even unintentionally, can lead to disaster and strife for any involved. Mushishi Zoku Shou continues the story of Mushishi Ginko on his journey to help the visible world to coexist with the Mushi.

During his travels, Ginko discovers various gifted individuals—those cursed by circumstance and those maintaining a fragile symbiosis with the Mushi—inevitably confronting the question of whether humanity, talented and tortured alike, can manage the responsibility of the unseen. Moreover, as a Mushishi, Ginko must learn more about these strange beings and decide if he has the right to interfere with the complex relationships between Mushi and mankind.

[Written by MAL Rewrite]";"""Shiver"" by Lucy Rose,";"#01: ""Nozue no Utage"" (野末の宴) by Toshio Masuda (ep 1),#02: ""Saezuru Kai"" (囀る貝) by Toshio Masuda (ep 2),#03: ""Yuki no Shita"" (雪の下) by Toshio Masuda (ep 3),#04: ""Yoru wo Naderu Te"" (夜を撫でる手) by Toshio Masuda (ep 4),#05: ""Kagami ga Fuchi"" (鏡が淵) by Toshio Masuda (ep 5),#06: ""Hana Madoi"" (花惑い) by Toshio Masuda (ep 6),#07: ""Hi Teru Ame"" (日照る雨) by Toshio Masuda (ep 7),#08: ""Shimaki Tatsu"" (風巻立つ) by Toshio Masuda (ep 8),#09: ""Ushio Waku Tani"" (潮わく谷) by Toshio Masuda (ep 9),#10: ""Fuyu no Soko"" (冬の底) by Toshio Masuda (ep 10),"
34;148;8.77;Wolf Children;The Wolf Children Ame and Yuki;おおかみこどもの雨と雪;Movie;1;Finished Airing;Jul 21, 2012;;;Madhouse, VAP, Dentsu, Yomiuri Telecasting, Kadokawa Shoten, Toho, Hiroshima Television;Funimation;Studio Chizu;Original;Slice of Life, Fantasy;1 hr. 57 min.;PG - Children;"Hana, a hard-working college student, falls in love with a mysterious man who attends one of her classes though he is not an actual student. As it turns out, he is not truly human either. On a full moon night, he transforms, revealing that he is the last werewolf alive. Despite this, Hana's love remains strong, and the two ultimately decide to start a family.

Hana gives birth to two healthy children—Ame, born during rainfall, and Yuki, born during snowfall—both possessing the ability to turn into wolves, a trait inherited from their father. All too soon, however, the sudden death of her lover devastates Hana's life, leaving her to raise a peculiar family completely on her own. The stress of raising her wild-natured children in a densely populated city, all while keeping their identity a secret, culminates in a decision to move to the countryside, where she hopes Ame and Yuki can live a life free from the judgments of society. Wolf Children is the heartwarming story about the challenges of being a single mother in an unforgiving modern world.

[Written by MAL Rewrite]";;"""Okaa-san no Uta (おかあさんの唄)"" by Ann Sally,"
35;353;8.76;NGNL Zero, NGNL the Movie;;ノーゲーム・ノーライフ ゼロ;Movie;1;Finished Airing;Jul 15, 2017;;;None found, add some;Sentai Filmworks;Madhouse;Light novel;Ecchi, Fantasy, Game, Comedy, Supernatural;1 hr. 46 min.;PG-13 - Teens 13 or older;"Six thousand years before Sora and Shiro were even a blink in the history of Disboard, war consumed the land, tearing apart the heavens, destroying the stars, and threatening to wipe out the human race. Amid the chaos and destruction, a young man named Riku leads humanity toward the tomorrow his heart believed in. One day, in the ruins of an Elf city, he meets Schwi, an exiled female ""Ex-machina"" android who asks him to teach her what it means to have a human heart.

(Source: Sentai Filmworks)";;"""THERE IS A REASON"" by Konomi Suzuki,"
36;115;8.75;Mushi-Shi;;蟲師;TV;26;Finished Airing;Oct 23, 2005 to Jun 19, 2006;Fall 2005;Sundays at 03:40 (JST);Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound;Funimation;Artland;Manga;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;25 min. per ep.;PG-13 - Teens 13 or older;"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.

This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.

So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.

Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.

It could, after all, lead to the meaning of life itself.

[Written by MAL Rewrite]";"""The Sore Feet Song"" by Ally Kerr,";"#01: ""Midori no Za"" (緑の座) by Masuda Toshio (ep 1),#02: ""Mabuta no Hikari"" (瞼の光) by Masuda Toshio (ep 2),#03: ""Yawarakai Kaku"" (柔らかい角) by Masuda Toshio (ep 3),#04: ""Makura Kouji"" (枕小路 ) by Masuda Toshio (ep 4),#05: ""Tabi wo Suru Numa"" (旅をする沼) by Masuda Toshio (ep 5),#06: ""Tsuyu wo Suu Mure"" (露を吸う群れ) by Masuda Toshio (ep 6),#07: ""Ame ga Kuru Niji ga Tatsu"" (雨がくる虹がたつ) by Masuda Toshio (ep 7),#08: ""Unasaka Yori"" (海境より)  by Masuda Toshio (ep 8),#09: ""Omoi Mi"" (重い実) by Masuda Toshio (ep 9),#10: ""Suzuri ni Sumu Shiro"" (硯に棲む白) by Masuda Toshio (ep 10),#11: ""Yama Nemuru"" (やまねむる) by Masuda Toshio (ep 11),#12: ""Sugame no Sakana"" (眇の魚) by Masuda Toshio (ep 12),#13: ""Hitoyobashi"" (一夜橋) by Masuda Toshio (ep 13),#14: ""Kago no Naka"" (籠のなか) by Masuda Toshio (ep 14),#15: ""Haru to Usobuko"" (春と嘯く) by Masuda Toshio (ep 15),#16: ""Akatsuki no Hebi"" (暁の蛇) by Masuda Toshio (ep 16),#17: ""Uromayutori"" (虚繭取り) by Masuda Toshio (ep 17),#18: ""Yama Daku Koromo"" (山抱く衣) by Masuda Toshio (ep 18),#19: ""Tenpen no Ito"" (天辺の糸) by Masuda Toshio (ep 19),#20: ""Fude no Umi"" (筆の海) by Masuda Toshio (ep 20),#21: ""Wataboshi"" (綿胞子) by Masuda Toshio (ep 21),#22: ""Okitsu Miya"" (沖つ宮) by Masuda Toshio (ep 22),#23: ""Sabi no Naku Koe"" (錆の鳴く聲) by Masuda Toshio (ep 23),#24: ""Kagarinokou"" (篝野行) by Masuda Toshio (ep 24),#25: ""Ganpuku Ganka"" (眼福眼禍) by Masuda Toshio (ep 25),#26: ""Kusa wo Fumu Oto"" (草を踏む音) by Masuda Toshio (ep 26),"
37;1249;8.75;Natsume's Book of Friends Season 6;Natsume Yuujinchou Season 6, Natsume's Book of Friends Six;夏目友人帳 陸;TV;11;Finished Airing;Apr 12, 2017 to Jun 21, 2017;Spring 2017;Wednesdays at 01:35 (JST);TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha;None found, add some;Shuka;Manga;Drama, Fantasy, Shoujo, Slice of Life, Supernatural;23 min. per ep.;PG-13 - Teens 13 or older;"Takashi Natsume has grown accustomed to his encounters with youkai through the Book of Friends, which contains the names of youkai whom his grandmother, Reiko Natsume, has sealed in contracts. These encounters allow Natsume to better understand the youkai, Reiko, and himself. 

The Book of Friends is a powerful tool that can be used to control youkai; it is sought after by both youkai and exorcists alike. Natsume just wants to live out his daily life in peace but is constantly disrupted by these experiences. If he is to end this torment, Natsume must explore more about the book and the world of exorcism, as well as begin to open his heart to those who can help him.

[Written by MAL Rewrite]";"""Floria (フローリア)"" by Tomohisa Sako,";"""Kimi no Uta (きみのうた)"" by Rei Yasuda,"
38;146;8.74;Great Teacher Onizuka;GTO;グレート・ティーチャー・オニヅカ;TV;43;Finished Airing;Jun 30, 1999 to Sep 17, 2000;Summer 1999;Wednesdays at 19:30 (JST);Aniplex, Fuji TV;Discotek Media, TOKYOPOP;Studio Pierrot;Manga;Comedy, Drama, School, Shounen, Slice of Life;25 min. per ep.;R - 17+ (violence & profanity);"Onizuka is a reformed biker gang leader who has his sights set on an honorable new ambition: to become the world's greatest teacher... for the purpose of meeting sexy high school girls. Okay, so he's mostly reformed.

However, strict administrators and a class of ruthless delinquents stand between Onizuka and his goal and they will use any means, however illegal or low, to drive the new teacher away. Perfect, because Onizuka's methods won't be found in any teaching manual; he cares about the difference between legal and illegal activities about as much as he cares for the age difference between himself and a high school girl.

So get ready for math that doesn't add up, language you'd be slapped for using, and biology that would make a grown man blush... unless of course, you're the Great Teacher Onizuka.

[Written by MAL Rewrite]";"#1: ""Driver's High"" by L'Arc~en~Ciel (eps 01-16),#2: ""Hitori no Yoru"" by Porno Graffitti (eps 17-43),";"#1: ""Last Piece"" by Kirari (eps 1-16),#2: ""Shizuku (しずく)"" by Okuda Miwaku (eps 17-33),#3: ""CHERISHED MEMORIES"" by Hong Kong Knife (eps 34-42),#4: ""Driver's High"" by L'Arc~en~Ciel (ep 43),"
39;24;8.74;Gurren Lagann;Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL;天元突破グレンラガン;TV;27;Finished Airing;Apr 1, 2007 to Sep 30, 2007;Spring 2007;Sundays at 08:30 (JST);TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai;Bandai Entertainment, Aniplex of America;Gainax;Original;Action, Adventure, Comedy, Mecha, Sci-Fi;24 min. per ep.;PG-13 - Teens 13 or older;"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above.

In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery.

[Written by MAL Rewrite]";"""Sorairo Days (空色デイズ)"" by Shoko Nakagawa (eps 1-14, 16-26),";"#1: ""UNDERGROUND"" by HIGH VOLTAGE (eps 1-15),#2: ""happily ever after"" by Shoko Nakagawa (ep 16),#3: ""Minna no Peace (みんなのピース)"" by Afromania (eps 17-27),"
40;661;8.73;Fighting Spirit: New Challenger;Hajime no Ippo New Series, Hajime no Ippo Season II, Hajime no Ippo 2;はじめの一歩 新シリーズ;TV;26;Finished Airing;Jan 7, 2009 to Jul 1, 2009;Winter 2009;Wednesdays at 01:29 (JST);VAP, Kodansha, Nippon Television Network;None found, add some;Madhouse;Manga;Comedy, Sports, Drama, Shounen;23 min. per ep.;PG-13 - Teens 13 or older;"Japanese Featherweight Champion Ippo Makunouchi has successfully defended and retained his title. Meanwhile, his rival, Ichirou Miyata, has resurfaced in Japan, aiming for his own Featherweight belt in the Oriental Pacific Boxing Federation. When the rest of the world comes knocking, however, will Japan's best fighters rise to the challenge and achieve glory at the top? Or will the small island nation be crushed under the weight of greater entities? This time, champions will become challengers issuing a call to the rest of the world and ready to show off their fighting spirit!

[Written by MAL Rewrite]";"""Hekireki"" by Last Alliance,";"""8 AM"" by coldrain,"
41;87;8.73;Howl's Moving Castle;;ハウルの動く城;Movie;1;Finished Airing;Nov 20, 2004;;;d-rights, Tokuma Shoten;Walt Disney Studios;Studio Ghibli;Novel;Adventure, Drama, Fantasy, Romance;1 hr. 57 min.;G - All Ages;"That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer—or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop. 

However, Sophie's simple life takes a turn for the exciting when she is ensnared in a disturbing situation, and the mysterious wizard appears to rescue her. Unfortunately, this encounter, brief as it may be, spurs the vain and vengeful Witch of the Waste—in a fit of jealousy caused by a past discord with Howl—to put a curse on the maiden, turning her into an old woman.

In an endeavor to return to normal, Sophie must accompany Howl and a myriad of eccentric companions—ranging from a powerful fire demon to a hopping scarecrow—in his living castle, on a dangerous adventure as a raging war tears their kingdom apart.

[Written by MAL Rewrite]";"""Sekai no Yakusoku (世界の約束; The Promise of the World)"" by Chieko Baisho,";
42;6;8.73;One Punch Man;One Punch-Man, One-Punch Man, OPM;ワンパンマン;TV;12;Finished Airing;Oct 5, 2015 to Dec 21, 2015;Fall 2015;Mondays at 01:05 (JST);TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, East Japan Marketing & Communications;Viz Media;Madhouse;Web manga;Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen;24 min. per ep.;R - 17+ (violence & profanity);"The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

This all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of One Punch Man, an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.

[Written by MAL Rewrite]";"""THE HERO !! ~Okoreru Kobushi ni Hi wo Tsukero~ (THE HERO !! ～怒れる拳に火をつけろ～)"" by JAM Project,";"#1: ""Hoshi yori Saki ni Mitsukete Ageru (星より先に見つけてあげる)"" by Hiroko Moriguchi (eps 1-11),#2: ""Kanashimitachi wo Dakishimete (悲しみたちを抱きしめて)"" by Hiroko Moriguchi (ep 12),"
43;178;8.73;The Disappearance of Haruhi Suzumiya;The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie;涼宮ハルヒの消失;Movie;1;Finished Airing;Feb 6, 2010;;;Kadokawa Shoten, Animation Do;Funimation, Bandai Entertainment;Kyoto Animation;Light novel;Comedy, Mystery, Romance, School, Sci-Fi, Supernatural;2 hr. 42 min.;PG-13 - Teens 13 or older;"One cold Christmas day, Kyon heads over to school and the SOS Brigade's holiday celebration, only to realize that Haruhi Suzumiya seems to have disappeared. Moreover, no one even remembers her or the SOS Brigade; Mikuru Asahina knows nothing and is now afraid of him, and Itsuki Koizumi has also gone missing. The Literature Club, formed only by an uncharacteristically shy Yuki Nagato, now occupies the old SOS club room.

Suzumiya Haruhi no Shoushitsu is based on the fourth light novel of the acclaimed Haruhi series and is set after the events of the anime series. Not uncultured in the supernatural, Kyon will have to deal with his whole life turned upside down like a bad joke, and maybe it's better that way.

[Written by MAL Rewrite]";"""Bouken Desho Desho? (冒険でしょでしょ?)"" by Aya Hirano,";"""Yasashii Boukyaku (優しい忘却)"" by Minori Chihara,"
44;632;8.72;Natsume's Book of Friends Season 4;Natsume Yuujinchou Four, Natsume Yuujinchou 4, Natsume Yujincho 4;夏目友人帳 肆;TV;13;Finished Airing;Jan 3, 2012 to Mar 27, 2012;Winter 2012;Tuesdays at 01:30 (JST);TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment;NIS America, Inc.;Brain's Base;Manga;Slice of Life, Supernatural, Drama, Fantasy, Shoujo;24 min. per ep.;PG-13 - Teens 13 or older;"Takashi Natsume, the timid youkai expert and master of the Book of Friends, continues his journey towards self-understanding and acceptance with the help of friends both new and old. His most important ally is still his gluttonous and sake-loving bodyguard, the arrogant but fiercely protective wolf spirit Madara—or Nyanko-sensei, as Madara is called when in his usual disguise of an unassuming, pudgy cat.

Natsume, while briefly separated from Nyanko-sensei, is ambushed and kidnapped by a strange group of masked, monkey-like youkai, who have spirited him away to their forest as they desperately search for the Book of Friends. Realizing that his ""servant"" has been taken out from right under his nose, Nyanko-sensei enlists the help of Natsume's youkai friends and mounts a rescue operation. However, the forest of the monkey spirits holds many dangerous enemies, including the Matoba Clan, Natsume's old nemesis.

Stretching from the formidable hideout of the Matoba to Natsume's own childhood home, Natsume Yuujinchou Shi is a sweeping but familiar return to a world of danger and friendship, where Natsume will finally confront the demons of his own past.

[Written by MAL Rewrite]";"""Ima, Kono Toki. (今、このとき。)"" by Hiiragi,";"""Takaramono (たからもの)"" by Marina Kawano,"
45;833;8.72;Shokugeki no Soma 4th Season, Food Wars! The Third Plate 2nd cour, Shokugeki no Souma: San no Sara (2018);;食戟のソーマ 餐ノ皿 遠月列車篇;TV;Unknown;Currently Airing;Apr 9, 2018 to ?;Spring 2018;Mondays at 00:30 (JST);Shueisha;None found, add some;J.C.Staff;Manga;Ecchi, School, Shounen;24 min.;PG-13 - Teens 13 or older;The second course of Shokugeki no Souma season 3.;"""Symbol (シンボル)"" by Luck Life,";
46;1434;8.71;Mushishi Tokubetsu-hen: Suzu no Shizuku, Mushishi: The Next Chapter - Drops of Bells;;蟲師 続章: 鈴の雫;Movie;1;Finished Airing;May 16, 2015;;;Aniplex, Kodansha, Delfi Sound;None found, add some;Artland;Manga;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;47 min.;PG-13 - Teens 13 or older;"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro’s help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.

An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko’s peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.

[Written by MAL Rewrite]";"""Shiver"" by Lucy Rose,";"""Suzu no Shizuku"" (鈴の雫) by Toshio Masuda,"
47;624;8.7;Kizumonogatari Part 2: Nekketsu;Koyomi Vamp, Kizumonogatari Part 2;傷物語〈Ⅱ熱血篇〉;Movie;1;Finished Airing;Aug 19, 2016;;;Aniplex, Kodansha;Aniplex of America;Shaft;Light novel;Action, Mystery, Supernatural, Vampire;1 hr. 4 min.;R - 17+ (violence & profanity);"After reverting to human from half-vampire, Koyomi Araragi decides to retrieve Kiss-shot Acerola-orion Heart-under-blade's severed body parts that were stolen by three powerful vampire hunters. Awaiting him are Dramaturgie, a vampire hunter who is a vampire himself; Episode, a half-vampire with the ability to transform into mist; and Guillotinecutter, a human priest who is the most dangerous of them all.

Unbeknownst to Araragi, each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?

[Written by MAL Rewrite]";;"""étoile et toi"" by Clémentine,"
48;152;8.69;Monster;;モンスター;TV;74;Finished Airing;Apr 7, 2004 to Sep 28, 2005;Spring 2004;Wednesdays at 00:40 (JST);VAP, Shogakukan Productions, Nippon Television Network;Viz Media;Madhouse;Manga;Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller;24 min. per ep.;R+ - Mild Nudity;"Dr. Kenzou Tenma is a renowned brain surgeon of Japanese descent working in Europe. Highly lauded by his peers as one of the great young minds that will revolutionize the field, he is blessed with a beautiful fiancée and is on the cusp of a big promotion in the hospital he works at. But all of that is about to change with a grave dilemma that Kenzou faces one night—whether to save the life of a small boy or that of the town's mayor. Despite being pressured by his superiors to perform surgery on the mayor, his morals force him to perform the surgery on the other critical patient, saving his life and forfeiting the mayor's. A doctor is taught to believe that all life is equal; however, when a series of murders occur in the surgeon's vicinity, all of the evidence pointing to the boy he saved, Kenzou's beliefs are shaken. Along his journey to unravel the true identity of his little patient, Kenzou discovers that the fate of the world may be intertwined with the mysterious child.

[Written by MAL Rewrite]";"""Grain"" by Kuniaki Haishima,";"#1: ""For The Love of Life"" by David Sylvian (eps 1-32),#2: ""Make It Home"" by Fujiko Heming (eps 33-74),"
49;421;8.67;Bakuman.;Bakuman Season 3;バクマン。;TV;25;Finished Airing;Oct 6, 2012 to Mar 30, 2013;Fall 2012;Unknown;NHK, Shueisha;None found, add some;J.C.Staff;Manga;Comedy, Drama, Romance, Shounen;24 min. per ep.;PG-13 - Teens 13 or older;"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be cancelled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime!

In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream.

[Written by MAL Rewrite]";"#1: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (eps 1-13),#2: ""23:40 (23時40分) feat. Base Ball Bear"" by Hyadain (eps 14-25),";"#1: ""Pride on Everyday"" by Sphere (eps 1-13),#2: ""Yume Sketch (夢スケッチ)"" by JAM Project (eps 14-24),#3: ""Moshimo no Hanashi (もしもの話)"" by nano.RIPE (ep 25),"
50;1;8.67;Death Note;DN;デスノート;TV;37;Finished Airing;Oct 4, 2006 to Jun 27, 2007;Fall 2006;Wednesdays at 00:56 (JST);VAP, Konami, Ashi Production, Nippon Television Network, Shueisha;Viz Media;Madhouse;Manga;Mystery, Police, Psychological, Supernatural, Thriller, Shounen;23 min. per ep.;R - 17+ (violence & profanity);"A shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm.

High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be.            

With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.

[Written by MAL Rewrite]";"#1: ""the WORLD"" by Nightmare (eps 1-19),#2: ""What's up, people?!"" by Maximum the Hormone (eps 20-37),";"#1: ""Alumina"" by Nightmare (eps 1-19),#2: ""Zetsubō Billy"" by Maximum the Hormone (eps 20-36),#3: ""Coda ~ Death Note"" by Yoshihisa Hirano (ep 37),"
